"site" "m" "method" "order" "SC" "qD" "qD.LCL" "qD.UCL"
"70" "A4" 4472 "bycoverage" 0 0.995 129.86 127.549 132.171
"71" "A4" 4472 "bycoverage" 1 0.995 38.054 37.391 38.717
"72" "A4" 4472 "bycoverage" 2 0.995 17.402 16.947 17.857
"73" "A5" 533 "bycoverage" 0 0.995 9.755 9.457 10.053
"74" "A5" 533 "bycoverage" 1 0.995 2.332 2.304 2.361
"75" "A5" 533 "bycoverage" 2 0.995 1.643 1.628 1.658
"76" "A6" 5659 "bycoverage" 0 0.995 165.746 163.424 168.067
"77" "A6" 5659 "bycoverage" 1 0.995 46.718 46.132 47.304
"78" "A6" 5659 "bycoverage" 2 0.995 24.975 24.507 25.443
"79" "A7" 1065 "bycoverage" 0 0.995 42.665 41.596 43.735
"80" "A7" 1065 "bycoverage" 1 0.995 14.817 14.253 15.382
"81" "A7" 1065 "bycoverage" 2 0.995 7.189 6.811 7.568
"82" "A8" 1182 "bycoverage" 0 0.995 33.608 31.974 35.243
"83" "A8" 1182 "bycoverage" 1 0.995 4.983 4.715 5.251
"84" "A8" 1182 "bycoverage" 2 0.995 2.355 2.254 2.455
