"isolate.id"	"sseqid"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"sample.id"	"relAb"	"n"	"iso"
"587"	"no isolate"	"a5d8ad24c8a91f2cabeec886df64191e"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B6"	0.000299895036737142	0	"noi"
"588"	"no isolate"	"c59e1962011fe4b7a893c6059e5fc48f"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B6"	0.000449842555105713	0	"noi"
"589"	"no isolate"	"f7026be287d2f58a5b23a5be5e4f2c81"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B6"	0.000749737591842855	0	"noi"
"824"	"no isolate"	"18fc335b6e8a9cc0d269e291f5495f74"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"C1"	0.0016008537886873	0	"noi"
"585"	"no isolate"	"e5fd77f7cf3241e4bdf77097958159c6"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Lawsonella"	"B6"	0.000149947518368571	0	"noi"
"951"	"no isolate"	"90f220ee314fa3d04218272a0a6f4ff7"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"C3"	0.000284414106939704	0	"noi"
"584"	"no isolate"	"3967519d7c2705c72c8884b7f3a34edb"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	"B6"	0.000449842555105713	0	"noi"
"823"	"no isolate"	"296129f05220e5cd17c9199c0beb95fe"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Williamsia"	"C1"	0.00426894343649947	0	"noi"
"945"	"no isolate"	"bd9916e7a17bee040ee3934951d1df60"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Klenkia"	"C3"	0.00312855517633675	0	"noi"
"811"	"no isolate"	"dfd6c500098e1094a27bedfbac9213fa"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Nakamurellaceae"	"Nakamurella"	"C1"	0.0016008537886873	0	"noi"
"946"	"no isolate"	"e671b6e6bf4da2f88e20ee86272e8005"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Kineosporiales"	"Kineosporiaceae"	NA	"C3"	0.00142207053469852	0	"noi"
"417"	"no isolate"	"f3404c56322e20a0b1b26fb6bddbabd5"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Beutenbergiaceae"	NA	"B4"	0.00236742424242424	0	"noi"
"580"	"no isolate"	"b693e6557881eacbae5acf59df736914"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"B6"	0.000149947518368571	0	"noi"
"812"	"no isolate"	"8075e12545cb9d6338289f51d7846fde"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"C1"	0.00373532550693703	0	"noi"
"1035"	"no isolate"	"4d834f424455daeffaaa58bb81641aa7"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"A2"	0.000201979398101394	0	"noi"
"817"	"no isolate"	"e8d869555b0d27f1ab710b506a297e2c"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Cellulomonas"	"C1"	0.0032017075773746	0	"noi"
"818"	"no isolate"	"dbe96794bfff952de49421622e79d01d"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"	"Brachybacterium"	"C1"	0.00106723585912487	0	"noi"
"821"	"no isolate"	"108eb83f5442cdf1dd35035f245bfc30"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"	"Barrientosiimonas"	"C1"	0.0016008537886873	0	"noi"
"281"	"no isolate"	"060ad6c58bc68f46e59fce267cebe0d0"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"B3"	0.000168010752688172	0	"noi"
"582"	"no isolate"	"060ad6c58bc68f46e59fce267cebe0d0"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"B6"	0.000149947518368571	0	"noi"
"1342"	"no isolate"	"060ad6c58bc68f46e59fce267cebe0d0"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"C8"	0.000778967867575463	0	"noi"
"1460"	"no isolate"	"060ad6c58bc68f46e59fce267cebe0d0"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"D1"	0.00171484566389025	0	"noi"
"1641"	"no isolate"	"060ad6c58bc68f46e59fce267cebe0d0"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	"A3"	0.000394788787998421	0	"noi"
"418"	"no isolate"	"2fa964eb8adf5c263323c3499782b77c"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	"B4"	0.000236742424242424	0	"noi"
"947"	"no isolate"	"c5cb4c625d0407a88e503916973dc0bd"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	"C3"	0.00341296928327645	0	"noi"
"583"	"no isolate"	"78c08ee721cd368d2796781bf438c8b2"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	"B6"	0.000149947518368571	0	"noi"
"948"	"no isolate"	"309f26f5c3c971bd3db0d83c6c332372"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	"C3"	0.00113765642775882	0	"noi"
"949"	"no isolate"	"bf84080aa3da1d339b374a7ce0c06f15"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	NA	"C3"	0.00312855517633675	0	"noi"
"814"	"no isolate"	"f42894ccc2214c2cf7efdf837cff95ce"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"C1"	0.00213447171824973	0	"noi"
"1036"	"no isolate"	"46f4121d5eb860ab1dc816d73a61b219"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"A2"	0.000201979398101394	0	"noi"
"1341"	"no isolate"	"9f3b6a75d3ffac528b2142ebaf885341"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"C8"	0.000194741966893866	0	"noi"
"1459"	"no isolate"	"46f4121d5eb860ab1dc816d73a61b219"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"D1"	0.00146986771190593	0	"noi"
"1640"	"no isolate"	"46f4121d5eb860ab1dc816d73a61b219"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"A3"	0.000394788787998421	0	"noi"
"1818"	"no isolate"	"108a327c6fac1da8017255179ebffb20"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"A4"	0.00111806797853309	0	"noi"
"1971"	"no isolate"	"108a327c6fac1da8017255179ebffb20"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"A6"	0.000176709666018731	0	"noi"
"58"	"no isolate"	"c7c58cc7bbd0819fee4786744fb1d415"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"A1"	0.000202142712755205	0	"noi"
"730"	"no isolate"	"f496a19677f02ad6b756556527906069"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"B8"	0.00351957765068192	0	"noi"
"1340"	"no isolate"	"93b4b33104da1f42c2a3c19e316d939e"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"C8"	0.000973709834469328	0	"noi"
"1458"	"no isolate"	"93b4b33104da1f42c2a3c19e316d939e"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"D1"	0.00171484566389025	0	"noi"
"1817"	"no isolate"	"93b4b33104da1f42c2a3c19e316d939e"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Glutamicibacter"	"A4"	0.000447227191413238	0	"noi"
"815"	"no isolate"	"6fab56b6dc36e0ff30ad18c454bdac72"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Kocuria"	"C1"	0.0016008537886873	0	"noi"
"816"	"no isolate"	"87b24b8b13f136e671464898b4db68c3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Kocuria"	"C1"	0.0048025613660619	0	"noi"
"1972"	"no isolate"	"1e62b563caf9b08b3a90448d72fed2b3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Kocuria"	"A6"	0.000353419332037462	0	"noi"
"3"	"AAB_002.27F"	"96445e4469281076be5c6c8b4fabd761"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	"A1"	0	3	"i"
"365"	"AABH_007.27F"	"96445e4469281076be5c6c8b4fabd761"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	"B4"	0	1	"i"
"581"	"no isolate"	"96445e4469281076be5c6c8b4fabd761"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	"B6"	0.000299895036737142	0	"noi"
"785"	"FR_AXB_001.27F"	"96445e4469281076be5c6c8b4fabd761"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	"C1"	0	1	"i"
"416"	"no isolate"	"189d415b89984a5502a9fc13828ee7e9"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"B4"	0.00497159090909091	0	"noi"
"57"	"no isolate"	"1d213da4acd7d80a5236e9d93a90eeef"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Yaniella"	"A1"	0.000202142712755205	0	"noi"
"813"	"no isolate"	"1d213da4acd7d80a5236e9d93a90eeef"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Yaniella"	"C1"	0.0032017075773746	0	"noi"
"822"	"no isolate"	"992bf1a205dc4c0b0308f973a7f5d7cd"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"C1"	0.0016008537886873	0	"noi"
"950"	"no isolate"	"a214de178ab9ddc3e8483adeb84afd7c"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"C3"	0.000568828213879408	0	"noi"
"1155"	"no isolate"	"eb4913d7f415dd4bae16298040750110"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"C5"	0.000561797752808989	0	"noi"
"429"	"no isolate"	"5085986c1f43dc3be1856bf6e9094d55"	"Bacteria"	"Actinobacteriota"	"Rubrobacteria"	"Rubrobacterales"	"Rubrobacteriaceae"	"Rubrobacter"	"B4"	0.000236742424242424	0	"noi"
"825"	"no isolate"	"f336a06abad250910f9729cb23862c47"	"Bacteria"	"Actinobacteriota"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"	"C1"	0.000533617929562433	0	"noi"
"952"	"no isolate"	"39f95cf85f85a71de2d8fee7f74e963c"	"Bacteria"	"Actinobacteriota"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"C3"	0.000284414106939704	0	"noi"
"399"	"no isolate"	"83b6f197207043195cbbabde7e9614e6"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"B4"	0.000473484848484848	0	"noi"
"576"	"no isolate"	"608903da00bded219c5b23ac1ce30eff"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"B6"	0.000149947518368571	0	"noi"
"808"	"no isolate"	"0a0d387b0140dba0a4773a37921a5406"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"C1"	0.0032017075773746	0	"noi"
"935"	"no isolate"	"cc691d034ee390ec21b1dcdcd31a5efc"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Edaphobaculum"	"C3"	0.000284414106939704	0	"noi"
"395"	"no isolate"	"0baa763cb6bc57f0694298d9657ac798"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Sediminibacterium"	"B4"	0.000236742424242424	0	"noi"
"807"	"no isolate"	"0baa763cb6bc57f0694298d9657ac798"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Sediminibacterium"	"C1"	0.000533617929562433	0	"noi"
"575"	"no isolate"	"c3baa4f29712167da6b73d93b12fb249"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Vibrionimonas"	"B6"	0.000149947518368571	0	"noi"
"806"	"no isolate"	"b0614f7d0106482d000537f77fe88974"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	NA	"C1"	0.0032017075773746	0	"noi"
"393"	"no isolate"	"c666312d35ae26b78d99fa219169e462"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cytophagaceae"	"Cytophaga"	"B4"	0.000236742424242424	0	"noi"
"413"	"no isolate"	"2b713398a99276b106da671d9e0943be"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	"B4"	0.000473484848484848	0	"noi"
"940"	"no isolate"	"22175042043aa2d836fc54838fe98154"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	"C3"	0.000568828213879408	0	"noi"
"941"	"no isolate"	"4e4f70debd073e492d41dbd1063c5e45"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	"C3"	0.00170648464163823	0	"noi"
"942"	"no isolate"	"ccd8a680fa32a1867dae0393186ae68a"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	"C3"	0.000568828213879408	0	"noi"
"943"	"no isolate"	"23d0b10e356cf421ec6ae6c78d611cef"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	"C3"	0.000568828213879408	0	"noi"
"394"	"no isolate"	"3bdff255d4eec570ec76088abac08c38"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Microscillaceae"	"uncultured"	"B4"	0.000710227272727273	0	"noi"
"32"	"no isolate"	"1df432e5988bfe585fae4998a73aa6a0"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Flectobacillus"	"A1"	0.000606428138265616	0	"noi"
"805"	"no isolate"	"0bb65b3fe923aced2643ebbb08c818dc"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Spirosoma"	"C1"	0.00213447171824973	0	"noi"
"934"	"no isolate"	"ffea0de93980ddea6fa083b94412aa0d"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Spirosoma"	"C3"	0.000568828213879408	0	"noi"
"400"	"no isolate"	"9762f847d50f7cd7988a2f36f3f9e470"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Capnocytophaga"	"B4"	0.000710227272727273	0	"noi"
"36"	"no isolate"	"6b16990058efa6fd7143d8a2c9c8fa31"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A1"	0.000202142712755205	0	"noi"
"37"	"no isolate"	"15ebdd130eae0fe8b808213695b2e774"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A1"	0.00040428542551041	0	"noi"
"38"	"no isolate"	"7c2462437ee938b6726254427512b7fd"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A1"	0.000606428138265616	0	"noi"
"40"	"no isolate"	"7ab842f60fca4c0041b428ccc4973236"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A1"	0.00485142510612492	0	"noi"
"41"	"no isolate"	"63379c9231cd232cf08482db0172fa45"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A1"	0.000202142712755205	0	"noi"
"264"	"no isolate"	"530dda39ddb89b74c48a116bbecd7c5d"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"B3"	0.000168010752688172	0	"noi"
"401"	"no isolate"	"bc061823468b5780f89b3de2ec0a1900"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"B4"	0.00378787878787879	0	"noi"
"1031"	"no isolate"	"fbb88b2e9592b22e1126b7f6b16229df"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A2"	0.000201979398101394	0	"noi"
"1441"	"no isolate"	"0a4eaf3af39501e48e37d9330b5df360"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"D1"	0.000244977951984321	0	"noi"
"1966"	"no isolate"	"fbb88b2e9592b22e1126b7f6b16229df"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A6"	0.000883548330093656	0	"noi"
"2095"	"no isolate"	"834a0a39f5dfd1e50706e4e5ce03dcc3"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"A7"	0.000938967136150235	0	"noi"
"39"	"no isolate"	"61e2d56a6dab1b5c72b53e6bab0552a7"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"A1"	0.000202142712755205	0	"noi"
"265"	"no isolate"	"e81c29aa844730743c33a8edab6b40e2"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.00588037634408602	0	"noi"
"266"	"no isolate"	"3fb253cf2d288eb23affbbec31bbed7a"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.108366935483871	0	"noi"
"267"	"no isolate"	"d9a81ce65a181fda38d7266872ffe8ac"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.00386424731182796	0	"noi"
"268"	"no isolate"	"41d5934c6b416ec81e1e6ad3d42ef3c2"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.0030241935483871	0	"noi"
"269"	"no isolate"	"de4892446cb2ab298f6caab0135b3dfd"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.0305779569892473	0	"noi"
"270"	"no isolate"	"e7a23e11f506b12bd704cc3754e6a981"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.0332661290322581	0	"noi"
"271"	"no isolate"	"c134e6189b1628bfd133f134710ce0ee"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.00218413978494624	0	"noi"
"272"	"no isolate"	"0a4e8b57209e3d7b5533d11c9348507c"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.00134408602150538	0	"noi"
"273"	"no isolate"	"6efddc125669e5e00f27782433cc9858"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.0221774193548387	0	"noi"
"274"	"no isolate"	"9b6027ff1145b12a9738bf17ad1d4871"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.0154569892473118	0	"noi"
"275"	"no isolate"	"0a70ae0655328fef087f591c38147ea5"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B3"	0.00537634408602151	0	"noi"
"544"	"no isolate"	"e7a23e11f506b12bd704cc3754e6a981"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"B5"	0.00321802091713596	0	"noi"
